d_sma,l1,l2,d_spring,l_spring,D_spring,N_spring,Dielectric,l_lever,I,Material,l_sma
2.5e-05,0.0005,0.0005,2.5e-05,1.0000000000000001e-07,5e-05,1.0,0.0005,0.0,0.005,0.0,2.5e-05
3.8e-05,0.0005010986328125,0.0005010986328125,2.5238037109375002e-05,1.3206787109375e-06,5.1208496093750005e-05,2.0,0.00050048828125,1.220703125e-06,0.005975341796875,1.0,2.5732421875000002e-05
5e-05,0.0005021972656250001,0.0005021972656250001,2.5476074218750003e-05,2.541357421875e-06,5.241699218750001e-05,3.0,0.0005009765624999999,2.44140625e-06,0.006950683593750001,2.0,2.6464843750000002e-05
7.6e-05,0.0005032958984375001,0.0005032958984375001,2.5714111328125004e-05,3.7620361328124998e-06,5.362548828125001e-05,4.0,0.0005014648437499998,3.662109375e-06,0.007926025390625,3.0,2.7197265625000003e-05
0.0001,0.0005043945312500002,0.0005043945312500002,2.5952148437500005e-05,4.98271484375e-06,5.483398437500001e-05,5.0,0.0005019531249999998,4.8828125e-06,0.0089013671875,4.0,2.7929687500000004e-05
0.00013000000000000002,0.0005054931640625002,0.0005054931640625002,2.6190185546875006e-05,6.203393554687499e-06,5.6042480468750015e-05,6.0,0.0005024414062499997,6.103515625e-06,0.009876708984375,,2.8662109375000004e-05
0.00015,0.0005065917968750003,0.0005065917968750003,2.6428222656250007e-05,7.424072265625e-06,5.725097656250002e-05,7.0,0.0005029296874999997,7.3242187500000006e-06,0.010852050781249999,,2.9394531250000005e-05
0.0002,0.0005076904296875003,0.0005076904296875003,2.6666259765625007e-05,8.6447509765625e-06,5.845947265625002e-05,8.0,0.0005034179687499996,8.544921875e-06,0.011827392578124998,,3.0126953125000006e-05
0.00025,0.0005087890625000003,0.0005087890625000003,2.690429687500001e-05,9.8654296875e-06,5.966796875000002e-05,9.0,0.0005039062499999996,9.765625e-06,0.012802734374999998,,3.0859375e-05
0.00031,0.0005098876953125004,0.0005098876953125004,2.714233398437501e-05,1.10861083984375e-05,6.0876464843750024e-05,10.0,0.0005043945312499995,1.0986328125e-05,0.013778076171874997,,3.1591796875000004e-05
